1. 과일원료 DB,,,,,,,,,,
과일군명,원료명,가공방법,당도,pH,단가,비중,산도,원산지,색상,공급중량
베리류(Berries) , 비트베리(링곤베리) 주스 (저펄프),주스,7,2.83,6680,1.007,1.49,핀란드,버건디,900
베리류(Berries) , 블랙커런트 농축액 (일반),농축액,65.6,3.24,16370,1.246,4.72,폴란드,자주,220
열대과일(Tropical) , 망고스틴 냉동농축액 (프리미엄),냉동농축액,60.9,3.56,12140,1.23,2.17,태국,연노랑,240
열대과일(Tropical) , 잭프루트 농축액 (단일산지),농축액,71.1,5.05,15830,1.268,0.27,인도,노랑,240
기타(Other) , 아보카도 농축액 (프리미엄),농축액,69.6,6.39,10680,1.261,0.13,멕시코,연초록,1000
핵과류(Stone) , 천도복숭아 NFC (산지혼합),NFC,11.9,3.76,7830,1.025,0.72,중국,진주황,1400
기타(Other) , 감 주스 (무가당),주스,10.9,5.99,5090,1.02,0.1,대한민국,진주황,1000
기타(Other) , 대추야자 주스 (저펄프),주스,11.6,5.6,5760,1.024,0.12,이란,갈색,250
베리류(Berries) , 아사이 NFC (무가당),NFC,15.6,4.56,14490,1.034,0.18,브라질,딥퍼플,1200
박과류(Melons) , 칸탈루프 주스 (단일산지),주스,12.5,5.69,2280,1.024,0.1,멕시코,주황,240
핵과류(Stone) , 자두 주스 (저펄프),주스,8.7,3.21,4980,1.014,1.4,칠레,딥퍼플,240
베리류(Berries) , 딸기 농축액 (산지혼합),농축액,68.7,3.15,12050,1.259,2.55,미국,연홍,1400
열대과일(Tropical) , 람부탄 NFC (일반),NFC,16.6,4.83,9680,1.041,0.17,태국,담황,20
열대과일(Tropical) , 용과 NFC (클래식),NFC,13.9,4.13,11500,1.033,0.36,말레이시아,핑크,1000
열대과일(Tropical) , 망고 NFC (단일산지),NFC,8.3,3.45,11070,1.012,0.86,페루,진주황,25
열대과일(Tropical) , 타마린드 무균퓨레 (무가당),무균퓨레,9,2.52,21100,1.023,2.63,멕시코,호박색,1400
기타(Other) , 감 퓨레 (단일산지),퓨레,14.3,6.09,8020,1.046,0.07,일본,황주황,20
기타(Other) , 무화과 농축액 (단일산지),농축액,71.4,4.68,4630,1.269,0.36,터키,플럼브라운,1000
열대과일(Tropical) , 바나나 NFC (무가당),NFC,8,4.69,4600,1.014,0.12,에콰도르,아이보리,1400
핵과류(Stone) , 천도복숭아 농축액 (클래식),농축액,66.5,3.48,5980,1.25,1.31,중국,황주황,240
감귤류(Citrus) , 레몬 주스 (무첨가),주스,7,2.62,4490,1.007,3.12,미국,연금색,20
기타(Other) , 무화과 NFC (단일산지),NFC,13.3,4.53,11310,1.032,0.11,대한민국,갈자주,240
인과류(Pome) , 모과 냉동농축액 (무첨가),냉동농축액,63.6,3.25,5090,1.244,1.06,대한민국,황금,250
베리류(Berries) , 아사이 NFC (고펄프),NFC,13.7,4.69,11020,1.034,0.2,브라질,딥퍼플,25
베리류(Berries) , 라즈베리 NFC (일반),NFC,8,3.29,4730,1.014,1.66,칠레,딥레드,900
감귤류(Citrus) , 칼라만시 퓨레 (클래식),퓨레,9,2.73,3930,1.027,2.44,태국,연노랑,240
베리류(Berries) , 유월귤(빌베리) 무균퓨레 (프리미엄),무균퓨레,9.3,2.81,13330,1.029,1.68,핀란드,인디고,900
베리류(Berries) , 딸기 농축액 (클래식),농축액,65.5,3.03,7860,1.25,1.93,이집트,선홍,220
열대과일(Tropical) , 용과 냉동농축액 (저펄프),냉동농축액,62.6,4.85,12850,1.237,0.77,태국,핑크,1200
베리류(Berries) , 레드커런트 농축액 (산지혼합),농축액,63.4,2.79,10250,1.238,4.73,독일,딥레드,1200
핵과류(Stone) , 살구 주스 (클래식),주스,10.3,3.52,5150,1.017,1.58,스페인,주황,250
포도류(Grapes) , 포도 주스 (단일산지),주스,8.5,3.53,5110,1.017,0.87,칠레,연보라,1200
베리류(Berries) , 아사이 농축액 (단일산지),농축액,70.5,4.27,13770,1.268,0.48,브라질,딥퍼플,250
박과류(Melons) , 칸탈루프 주스 (산지혼합),주스,12.6,6.05,2680,1.031,0.11,스페인,황주황,1000
인과류(Pome) , 모과 퓨레 (클래식),퓨레,9,3.38,5790,1.03,1.14,중국,황금,25
감귤류(Citrus) , 금귤 무균퓨레 (단일산지),무균퓨레,9,2.72,5700,1.02,1.45,중국,황주황,900
박과류(Melons) , 멜론 냉동농축액 (클래식),냉동농축액,60,5.15,2730,1.233,0.15,대한민국,그린,240
베리류(Berries) , 라즈베리 무균퓨레 (무첨가),무균퓨레,9,3.3,7890,1.027,1.7,폴란드,루비,240
박과류(Melons) , 칸탈루프 NFC (단일산지),NFC,12.3,5.5,2190,1.03,0.12,스페인,황주황,250
베리류(Berries) , 크랜베리 무균퓨레 (저펄프),무균퓨레,9,2.89,18660,1.023,2.92,미국,암적,1000
기타(Other) , 감 냉동농축액 (일반),냉동농축액,65.3,5.33,11250,1.251,0.21,대한민국,황주황,25
베리류(Berries) , 아로니아 주스 (유기농),주스,7,3.32,6600,1.011,0.93,대한민국,흑자주,220
기타(Other) , 키위 퓨레 (프리미엄),퓨레,13.9,3.32,5350,1.041,1.3,대한민국,연초록,250
열대과일(Tropical) , 파인애플 농축액 (일반),농축액,61.7,3.84,12480,1.24,2.2,태국,노랑,900
베리류(Berries) , 라즈베리 퓨레 (무가당),퓨레,9,3.08,8460,1.022,1.55,칠레,딥레드,25
열대과일(Tropical) , 바나나 농축액 (프리미엄),농축액,67.4,5.29,9130,1.259,0.4,과테말라,연베이지,900
감귤류(Citrus) , 라임 농축액 (무첨가),농축액,71.4,2.21,5450,1.269,4.19,베트남,연초록,1200
열대과일(Tropical) , 잭프루트 무균퓨레 (클래식),무균퓨레,19,5.56,18770,1.066,0.18,태국,레몬옐로,220
열대과일(Tropical) , 망고 냉동농축액 (프리미엄),냉동농축액,68.3,3.4,8830,1.259,1.27,태국,주황,1000
박과류(Melons) , 수박 냉동농축액 (단일산지),냉동농축액,65.7,5.36,4160,1.247,0.18,중국,연홍,220
감귤류(Citrus) , 포멜로 냉동농축액 (일반),냉동농축액,61.9,2.95,3860,1.233,1.27,중국,연노랑,25
감귤류(Citrus) , 라임 농축액 (클래식),농축액,64.3,2.48,5270,1.242,3.21,멕시코,연초록,25
열대과일(Tropical) , 망고 NFC (일반),NFC,11.1,3.51,4360,1.027,0.55,멕시코,진주황,1000
인과류(Pome) , 비파 주스 (유기농),주스,12.1,3.46,3690,1.028,0.36,중국,살구색,1400
감귤류(Citrus) , 오렌지 냉동농축액 (프리미엄),냉동농축액,61.3,3.35,5680,1.234,2.18,남아공,진주황,25
베리류(Berries) , 엘더베리 무균퓨레 (프리미엄),무균퓨레,13.4,3.74,13470,1.039,1.22,폴란드,블랙퍼플,900
베리류(Berries) , 구기자 주스 (무첨가),주스,8.1,3.7,7650,1.013,0.87,중국,주황적,25
감귤류(Citrus) , 자몽 무균퓨레 (무첨가),무균퓨레,12.6,3.47,6840,1.039,1.36,미국,핑크,250
베리류(Berries) , 비트베리(링곤베리) 무균퓨레 (고펄프),무균퓨레,9,2.84,10950,1.021,1.47,핀란드,진적색,25
베리류(Berries) , 엘더베리 퓨레 (일반),퓨레,10.4,3.73,19800,1.033,1.07,오스트리아,흑보라,240
감귤류(Citrus) , 베르가못 NFC (일반),NFC,8,2.62,6740,1.006,1.74,튀니지,황녹,200
감귤류(Citrus) , 감귤 무균퓨레 (유기농),무균퓨레,11.9,3.24,5310,1.032,1.01,대한민국,주황,200
기타(Other) , 대추야자 퓨레 (산지혼합),퓨레,9.3,4.9,9820,1.025,0.14,이란,다크브라운,220
감귤류(Citrus) , 레몬 NFC (단일산지),NFC,8,2.37,5780,1.011,2.75,미국,연노랑,900
인과류(Pome) , 비파 농축액 (무첨가),농축액,62.5,3.65,4910,1.235,1.35,일본,연주황,200
열대과일(Tropical) , 리치 무균퓨레 (프리미엄),무균퓨레,11.2,4.25,10320,1.032,0.43,베트남,연노랑,1000
베리류(Berries) , 비트베리(링곤베리) NFC (단일산지),NFC,8,2.99,5630,1.01,2.06,스웨덴,버건디,200
열대과일(Tropical) , 파인애플 무균퓨레 (무가당),무균퓨레,17.3,3.27,12160,1.053,1.09,인도네시아,레몬옐로,250
베리류(Berries) , 아사이 냉동농축액 (유기농),냉동농축액,58.9,4.43,21040,1.223,0.33,브라질,자주,25
베리류(Berries) , 라즈베리 냉동농축액 (단일산지),냉동농축액,60.1,2.86,9970,1.231,1.9,칠레,루비,1000
열대과일(Tropical) , 노니 무균퓨레 (고펄프),무균퓨레,19.4,3.82,14470,1.062,0.98,인도네시아,연호박,20
열대과일(Tropical) , 구아바 농축액 (산지혼합),농축액,63.7,3.65,12980,1.247,1.59,멕시코,핑크,1400
기타(Other) , 키위 무균퓨레 (프리미엄),무균퓨레,14.1,3.37,8420,1.046,1.61,이탈리아,연녹,1000
기타(Other) , 아보카도 NFC (단일산지),NFC,17.5,6.06,9900,1.042,0.07,페루,그린,1200
감귤류(Citrus) , 금귤 NFC (프리미엄),NFC,8,2.9,5450,1.009,1.57,대한민국,황주황,250
베리류(Berries) , 아사이 농축액 (무첨가),농축액,66.7,4.27,8010,1.255,0.77,브라질,딥퍼플,240
감귤류(Citrus) , 라임 퓨레 (프리미엄),퓨레,9,2.15,4570,1.026,2.75,멕시코,연초록,1200
열대과일(Tropical) , 노니 무균퓨레 (프리미엄),무균퓨레,12.5,3.86,12260,1.035,0.55,타히티,연갈,200
베리류(Berries) , 크랜베리 농축액 (단일산지),농축액,66.1,2.51,15550,1.256,5.38,미국,진적색,200
기타(Other) , 아보카도 냉동농축액 (무가당),냉동농축액,66.7,5.98,12280,1.255,0.17,페루,연녹,1200
베리류(Berries) , 아로니아 주스 (산지혼합),주스,9.5,3.22,7410,1.017,1.48,대한민국,블랙퍼플,1200
핵과류(Stone) , 사워체리 냉동농축액 (프리미엄),냉동농축액,67.8,3.38,8020,1.262,2.08,헝가리,루비,1200
베리류(Berries) , 크랜베리 농축액 (일반),농축액,69.2,2.33,10010,1.268,3.82,캐나다,진적색,900
핵과류(Stone) , 체리 퓨레 (유기농),퓨레,11.9,3.47,5810,1.033,0.36,미국,암적,250
감귤류(Citrus) , 라임 농축액 (무가당),농축액,63.4,2.49,3030,1.242,4.12,멕시코,연녹색,240
베리류(Berries) , 블랙커런트 냉동농축액 (프리미엄),냉동농축액,64.6,3.16,8130,1.244,2.44,영국,딥퍼플,25
베리류(Berries) , 블랙커런트 주스 (단일산지),주스,7,2.81,7120,1.005,2.02,영국,딥퍼플,220
핵과류(Stone) , 사워체리 냉동농축액 (클래식),냉동농축액,66,2.9,11170,1.252,1.66,터키,진홍,900
인과류(Pome) , 모과 무균퓨레 (고펄프),무균퓨레,11.4,3.22,3290,1.033,1,터키,황금,1400
감귤류(Citrus) , 라임 농축액 (클래식),농축액,64.2,2.21,5580,1.25,6,멕시코,연녹색,25
인과류(Pome) , 모과 NFC (일반),NFC,8,3.47,3550,1.009,1.11,중국,황금,240
기타(Other) , 대추야자 무균퓨레 (클래식),무균퓨레,11.4,5.23,8030,1.037,0.21,이란,다크브라운,900
핵과류(Stone) , 살구 NFC (프리미엄),NFC,11.9,3.3,6520,1.029,1.15,터키,황주황,900
핵과류(Stone) , 천도복숭아 퓨레 (단일산지),퓨레,19.8,3.24,5870,1.062,0.48,칠레,진주황,1000
포도류(Grapes) , 포도 주스 (프리미엄),주스,7,3.36,7160,1.009,0.61,남아공,퍼플,20
박과류(Melons) , 수박 무균퓨레 (유기농),무균퓨레,14.8,5.31,2800,1.043,0.1,베트남,코랄,20
감귤류(Citrus) , 오렌지 냉동농축액 (단일산지),냉동농축액,67.3,3.11,8460,1.259,2.38,스페인,진주황,25
감귤류(Citrus) , 라임 퓨레 (무첨가),퓨레,9,2.29,3010,1.029,2.27,멕시코,라임그린,1200
열대과일(Tropical) , 용과 농축액 (클래식),농축액,63.1,4.19,9390,1.245,0.71,베트남,연분홍,25
감귤류(Citrus) , 베르가못 무균퓨레 (저펄프),무균퓨레,9,2.46,5380,1.028,2.29,이탈리아,연올리브,1200
베리류(Berries) , 아로니아 냉동농축액 (일반),냉동농축액,66.5,3.56,7510,1.25,3.04,폴란드,흑자주,1000
핵과류(Stone) , 자두 퓨레 (클래식),퓨레,12.8,3.28,9580,1.036,1.38,대한민국,딥퍼플,900
열대과일(Tropical) , 파파야 주스 (고펄프),주스,13.2,5.04,8610,1.035,0.07,브라질,살구색,1200
감귤류(Citrus) , 라임 퓨레 (유기농),퓨레,9,2.21,7590,1.024,3.44,멕시코,연녹색,1200
베리류(Berries) , 아로니아 냉동농축액 (저펄프),냉동농축액,59.9,3.63,6360,1.227,3.34,폴란드,흑보라,1200
감귤류(Citrus) , 라임 무균퓨레 (고펄프),무균퓨레,9,2.42,8880,1.022,2.65,베트남,연초록,1400
베리류(Berries) , 블랙커런트 퓨레 (단일산지),퓨레,9,3.32,15010,1.029,1.33,폴란드,자홍,900
열대과일(Tropical) , 타마린드 농축액 (유기농),농축액,66,2.86,14510,1.255,6,인도,호박색,20
열대과일(Tropical) , 망고 주스 (고펄프),주스,9.6,3.6,9210,1.015,0.62,베트남,진주황,200
열대과일(Tropical) , 구아바 퓨레 (단일산지),퓨레,9,3.49,5700,1.024,0.4,인도,핑크,900
핵과류(Stone) , 사워체리 냉동농축액 (저펄프),냉동농축액,69.6,3.33,5160,1.262,3.52,터키,딥레드,1000
열대과일(Tropical) , 패션프루트 농축액 (일반),농축액,61.1,2.77,10400,1.229,3.09,남아공,레몬옐로,1200
베리류(Berries) , 엘더베리 농축액 (산지혼합),농축액,65.2,3.71,13040,1.248,2.3,폴란드,흑자주,900
열대과일(Tropical) , 망고 퓨레 (산지혼합),퓨레,11.1,4.39,13570,1.029,0.68,페루,진주황,250
핵과류(Stone) , 자두 냉동농축액 (산지혼합),냉동농축액,60.4,3.23,7430,1.229,0.91,칠레,자주,1400
감귤류(Citrus) , 라임 NFC (산지혼합),NFC,8,2.29,6610,1.012,2.47,베트남,라임그린,1200
열대과일(Tropical) , 리치 주스 (일반),주스,12,4.04,8860,1.025,0.51,베트남,연금색,240
열대과일(Tropical) , 람부탄 주스 (단일산지),주스,8.7,4.66,6310,1.014,0.39,말레이시아,연노랑,1200
기타(Other) , 감 주스 (무첨가),주스,8.1,5.82,3960,1.016,0.03,대한민국,진주황,250
감귤류(Citrus) , 유자 주스 (산지혼합),주스,7,2.85,6110,1.011,2.01,대한민국,황금,200
감귤류(Citrus) , 포멜로 퓨레 (고펄프),퓨레,9.9,3.4,3770,1.026,1.02,베트남,담황,1200
박과류(Melons) , 멜론 무균퓨레 (저펄프),무균퓨레,18.8,6,5920,1.062,0.05,대한민국,연녹,240
포도류(Grapes) , 포도 냉동농축액 (유기농),냉동농축액,66.3,3.32,5370,1.255,1.5,남아공,퍼플,250
베리류(Berries) , 크랜베리 농축액 (단일산지),농축액,63.5,2.68,10050,1.242,4.48,캐나다,진적색,25
기타(Other) , 무화과 퓨레 (클래식),퓨레,12,4.55,6040,1.033,0.28,터키,플럼브라운,250
감귤류(Citrus) , 자몽 무균퓨레 (저펄프),무균퓨레,12.9,2.9,6540,1.044,1.35,멕시코,핑크,220
베리류(Berries) , 구기자 NFC (유기농),NFC,12,4.23,8940,1.026,0.35,중국,주황적,900
인과류(Pome) , 모과 주스 (단일산지),주스,10.9,3.11,3130,1.025,1,대한민국,황금,240
열대과일(Tropical) , 람부탄 농축액 (고펄프),농축액,71.1,4.27,8100,1.275,0.55,말레이시아,연노랑,25
감귤류(Citrus) , 금귤 무균퓨레 (무첨가),무균퓨레,9,2.88,8600,1.027,1.26,중국,주황,1400
베리류(Berries) , 레드커런트 주스 (저펄프),주스,7,2.75,5280,1.004,2,독일,진홍,20
핵과류(Stone) , 살구 냉동농축액 (클래식),냉동농축액,63.4,3.11,6610,1.239,2.38,우즈베키스탄,주황,25
베리류(Berries) , 아로니아 냉동농축액 (무가당),냉동농축액,62.9,3.27,14210,1.236,2.69,대한민국,블랙퍼플,1400
베리류(Berries) , 딸기 냉동농축액 (프리미엄),냉동농축액,63.7,3.18,12730,1.247,1.74,중국,적색,1400
열대과일(Tropical) , 파파야 주스 (산지혼합),주스,11.2,4.63,10070,1.019,0.28,태국,연주황,1400
감귤류(Citrus) , 유자 냉동농축액 (산지혼합),냉동농축액,61.9,2.89,6000,1.232,2.47,대한민국,레몬옐로,200
핵과류(Stone) , 사워체리 주스 (단일산지),주스,7.6,3.28,3160,1.007,1.47,폴란드,진홍,220
감귤류(Citrus) , 오렌지 농축액 (유기농),농축액,65.1,3.42,5550,1.253,1.61,스페인,진주황,200
기타(Other) , 감 무균퓨레 (산지혼합),무균퓨레,23.1,5.78,9800,1.083,0.08,중국,진주황,25
감귤류(Citrus) , 라임 무균퓨레 (클래식),무균퓨레,9,2.17,4670,1.024,3.49,멕시코,연녹색,240
박과류(Melons) , 멜론 무균퓨레 (무첨가),무균퓨레,16.8,5.73,3690,1.052,0.1,스페인,연녹,20
열대과일(Tropical) , 망고스틴 농축액 (무가당),농축액,62.9,3.16,8150,1.244,1.41,인도네시아,연노랑,1200
기타(Other) , 대추야자 농축액 (유기농),농축액,61.7,5.96,12000,1.236,0.45,이란,갈색,240
박과류(Melons) , 수박 퓨레 (산지혼합),퓨레,12.1,5.18,4800,1.041,0.04,중국,연홍,900
열대과일(Tropical) , 패션프루트 농축액 (저펄프),농축액,71.7,3.06,7950,1.272,4.4,남아공,노랑,220
베리류(Berries) , 엘더베리 무균퓨레 (프리미엄),무균퓨레,9,3.52,14560,1.024,0.56,폴란드,흑자주,250
열대과일(Tropical) , 망고 NFC (무가당),NFC,8,4.12,9790,1.009,0.33,멕시코,주황,25
기타(Other) , 아보카도 퓨레 (프리미엄),퓨레,19.5,6.39,7050,1.068,0.06,멕시코,연녹,220
기타(Other) , 무화과 주스 (클래식),주스,14.5,5.2,5040,1.034,0.23,이란,플럼브라운,900
열대과일(Tropical) , 리치 무균퓨레 (고펄프),무균퓨레,13,4.01,7010,1.04,0.36,베트남,담황,220
베리류(Berries) , 구기자 주스 (무가당),주스,7,4.19,8220,1.002,0.74,대한민국,주황적,200
베리류(Berries) , 아사이 냉동농축액 (고펄프),냉동농축액,62.6,4.59,21120,1.236,0.6,브라질,딥퍼플,200
감귤류(Citrus) , 금귤 냉동농축액 (일반),냉동농축액,66.6,2.9,3320,1.25,3.49,중국,황주황,20
핵과류(Stone) , 사워체리 냉동농축액 (클래식),냉동농축액,68.1,3.01,8480,1.259,1.54,터키,루비,1000
인과류(Pome) , 배 농축액 (프리미엄),농축액,66.4,3.73,4930,1.251,0.68,칠레,연노랑,25
열대과일(Tropical) , 파파야 냉동농축액 (무가당),냉동농축액,60.9,4.82,14580,1.228,0.29,브라질,피치,220
베리류(Berries) , 아로니아 무균퓨레 (일반),무균퓨레,13.5,3.15,6540,1.043,1.79,대한민국,흑보라,1000
열대과일(Tropical) , 타마린드 농축액 (단일산지),농축액,68.4,2.34,21960,1.266,5.02,인도,갈색,220
열대과일(Tropical) , 바나나 NFC (일반),NFC,8,4.47,8840,1.015,0.28,필리핀,크림,250
감귤류(Citrus) , 포멜로 퓨레 (무첨가),퓨레,9,3.49,4420,1.029,1.26,베트남,연노랑,1400
박과류(Melons) , 멜론 퓨레 (일반),퓨레,13.7,5.96,4320,1.047,0.04,스페인,그린,250
감귤류(Citrus) , 자몽 주스 (클래식),주스,7,2.95,4920,1.008,1.41,이스라엘,연핑크,240
열대과일(Tropical) , 패션프루트 냉동농축액 (유기농),냉동농축액,62.3,3.1,16740,1.233,4.57,브라질,노랑,240
핵과류(Stone) , 살구 무균퓨레 (프리미엄),무균퓨레,13.9,3.09,5640,1.042,1.05,스페인,진주황,240
감귤류(Citrus) , 라임 농축액 (일반),농축액,62.2,2.29,3500,1.236,4.03,베트남,라임그린,900
베리류(Berries) , 크랜베리 주스 (유기농),주스,7,2.35,15830,1.011,3.33,미국,암적,900
감귤류(Citrus) , 라임 NFC (저펄프),NFC,8,2.4,4610,1.01,1.91,브라질,연녹색,250
베리류(Berries) , 블루베리 무균퓨레 (고펄프),무균퓨레,13.9,3.3,10260,1.039,0.64,칠레,인디고,900
열대과일(Tropical) , 망고 NFC (클래식),NFC,10.4,4.22,6580,1.021,0.66,멕시코,황주황,220
베리류(Berries) , 구기자 냉동농축액 (고펄프),냉동농축액,69.6,4.23,7900,1.266,1.36,대한민국,주황적,900
감귤류(Citrus) , 레몬 퓨레 (클래식),퓨레,9,2.8,3010,1.027,2.05,이탈리아,연금색,220
기타(Other) , 아보카도 NFC (무가당),NFC,16,6.05,9580,1.044,0.09,멕시코,그린,240
